order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1477147,101001,Restaurant_34,Italian,15.45,Weekday,4,21,22
1477148,100680,Restaurant_113,Italian,23.43,Weekday,4,20,23
1477149,100058,Restaurant_34,Mexican,22.58,Weekday,Not given,21,25
1477150,101050,Restaurant_175,American,21.41,Weekend,Not given,34,20
1477151,100881,Restaurant_71,Thai,24.29,Weekend,5,32,28
1477152,100447,Restaurant_87,Indian,12.5,Weekday,Not given,35,15
1477153,100066,Restaurant_49,Chinese,7.09,Weekday,4,24,21
1477154,101068,Restaurant_77,Chinese,8.16,Weekend,Not given,28,23
1477155,101121,Restaurant_121,Chinese,11.42,Weekday,Not given,28,25
1477156,101012,Restaurant_140,American,19.95,Weekday,5,21,30
1477157,100227,Restaurant_140,Indian,30.47,Weekday,Not given,21,16
1477158,100774,Restaurant_105,Middle Eastern,26.17,Weekday,5,22,29
1477159,100679,Restaurant_155,American,28.88,Weekend,5,26,17
1477160,100601,Restaurant_143,American,15.33,Weekend,5,30,18
1477161,100379,Restaurant_140,Indian,16.99,Weekday,Not given,22,21
1477162,100709,Restaurant_10,French,16.65,Weekday,5,20,26
1477163,100307,Restaurant_2,Chinese,10.41,Weekday,5,33,18
1477164,100779,Restaurant_39,Italian,6.36,Weekend,Not given,33,24
1477165,100504,Restaurant_121,Indian,22.75,Weekend,5,33,20
1477166,100268,Restaurant_70,Chinese,35.08,Weekend,5,25,28
1477167,100008,Restaurant_70,American,9.63,Weekend,5,22,17
1477168,100508,Restaurant_155,Thai,5.91,Weekday,5,20,31
1477169,100476,Restaurant_155,Indian,28.59,Weekday,4,33,25
1477170,100164,Restaurant_155,Indian,12.29,Weekday,5,35,24
1477171,100485,Restaurant_54,Thai,30.14,Weekend,Not given,32,24
1477172,101096,Restaurant_127,Japanese,26.25,Weekday,Not given,23,24
1477173,100567,Restaurant_51,Chinese,33.73,Weekday,5,32,17
1477174,100905,Restaurant_35,Italian,17.12,Weekday,5,20,29
1477175,100559,Restaurant_35,American,24.95,Weekday,4,20,31
1477176,100238,Restaurant_56,American,18.85,Weekday,4,31,32
1477177,101128,Restaurant_70,Japanese,23.98,Weekday,5,21,26
1477178,100554,Restaurant_151,Middle Eastern,18.38,Weekday,5,29,19
1477179,100828,Restaurant_24,Korean,10.31,Weekday,Not given,27,30
1477180,100468,Restaurant_135,Indian,20.18,Weekday,5,21,29
1477181,100386,Restaurant_93,Chinese,20.82,Weekday,5,30,29
1477182,100775,Restaurant_52,American,29.55,Weekend,Not given,21,20
1477183,100848,Restaurant_82,French,27.23,Weekday,3,34,26
1477184,100387,Restaurant_53,Indian,25.01,Weekday,5,30,16
1477185,100877,Restaurant_113,Indian,7.98,Weekend,3,30,23
1477186,100259,Restaurant_70,Thai,26.77,Weekday,5,35,18
1477187,100283,Restaurant_34,Japanese,19.95,Weekend,Not given,29,19
1477188,100040,Restaurant_21,French,32.13,Weekday,4,29,22
1477189,100486,Restaurant_95,American,32.93,Weekday,Not given,27,24
1477190,100929,Restaurant_155,Thai,6.18,Weekday,Not given,31,21
1477191,100220,Restaurant_56,Middle Eastern,29.86,Weekday,Not given,25,28
1477192,101153,Restaurant_135,Chinese,5.64,Weekday,Not given,35,19
1477193,101015,Restaurant_120,Indian,15.83,Weekday,4,31,30
1477194,101024,Restaurant_161,Chinese,21.25,Weekend,5,30,29
1477195,100613,Restaurant_145,Korean,9.05,Weekday,4,23,19
1477196,100928,Restaurant_105,American,27.56,Weekend,3,22,17
1477197,100688,Restaurant_119,Indian,4.73,Weekday,Not given,20,24
1477198,100613,Restaurant_155,American,9.69,Weekend,5,30,19
1477199,100260,Restaurant_70,Japanese,22.44,Weekday,Not given,22,29
1477200,100990,Restaurant_54,American,26.57,Weekday,Not given,31,32
1477201,100966,Restaurant_2,Chinese,32.83,Weekday,Not given,33,22
1477202,100366,Restaurant_148,Mexican,26.3,Weekday,Not given,28,16
1477203,100544,Restaurant_141,Mediterranean,25.25,Weekend,5,24,22
1477204,100649,Restaurant_15,Chinese,16.67,Weekday,5,32,22
1477205,100814,Restaurant_105,American,4.51,Weekday,5,25,18
1477206,101040,Restaurant_75,Thai,8.19,Weekday,5,24,32
1477207,101153,Restaurant_23,Mexican,21.01,Weekday,4,20,15
1477208,100575,Restaurant_179,Mediterranean,25.36,Weekend,Not given,29,29
1477209,101133,Restaurant_39,American,17.39,Weekend,Not given,20,32
1477210,101013,Restaurant_12,Indian,27.08,Weekend,4,23,26
1477211,100670,Restaurant_113,Chinese,20.62,Weekday,5,35,15
1477212,100269,Restaurant_137,American,6.77,Weekday,5,34,21
